$T_{umg}$ in °C;$P_{el}$ in kW;$\dot{Q}_{heiz}$ in kW
-1.6999878;3.338178236;25.078299283060225
-1.1000122;4.37752391;33.35054871397657
-0.5000061;2.644189463;20.458084770762014
-0.1999878;2.500954787;19.512406597128162
-0.100012206;2.480032795;19.362449932505534
-0.100012206;2.464633058;19.24219026086102
0.7000061;2.682318394;21.404819256310148
1.3999878;2.398705095;19.475303694583058
1.8000122;2.601776467;21.3190545122813
2.3999877;2.412763912;20.10544620087172
2.4999938;2.285142482;19.07319164614375
2.700006;2.523319045;21.175068404928595
3.200006;1.963208877;16.71078924543132
3.1;2.415330124;20.459312395106846
2.800012;2.668900933;22.432345643349738
2.800012;2.513548129;21.14783624941518
2.6;2.755267614;23.049584377593312
2.200006;2.501012612;20.725655946651905
1.9999939;2.528151145;20.815797518489575
2.200006;2.791374627;23.096597925973295
2.1;2.807902014;23.22969597537843
2.4999938;1.917256943;16.00585547399027
2.300012;2.351367454;19.532675564093758
2.300012;2.328112286;19.30966403627573
2.1;2.368473935;19.558706345509496
2.1;2.224608972;18.383123451794194
2.1;2.157859707;17.806367128451555
2.300012;2.233933105;18.563385960366915
2.3999877;2.142024493;17.827741226201624
2.6;2.177870733;18.229466125004134
2.700006;2.208360825;18.528134867755412
2.9999938;2.085985558;17.691809563690178
3.1;2.099520917;17.81720905550524
3.4999938;2.030628978;17.400526781420883
3.700006;1.795353306;15.504466898242065
3.700006;1.9662001;16.937447127000578
4.1;2.09800414;18.304734271900095
4.300012;1.821004118;15.934129597522405
3.9999938;2.24790557;19.527089279022032
4.499994;2.331676444;20.571947224717384
4.8999877;2.266054664;20.231714331599907
4.6;2.279612589;20.1689833656238
4.6;2.250325265;19.904166034352237
4.999994;2.289398732;20.477551926088214
5.200006;2.659611462;23.903115560192653
4.8999877;2.735483675;24.390629115832105
4.999994;2.742582699;24.5290622245808
4.999994;2.743241345;24.56531044452438
4.999994;2.742432484;24.54380336579137
4.999994;2.742321945;24.500681196892742
4.800012;2.766504586;24.618163679387894
4.800012;2.771080191;24.644686354391673
4.8999877;2.762097476;24.628926559993882
4.8999877;2.763781245;24.669720525776818
4.800012;2.736488095;24.36526599044992
4.700006;2.105842983;18.699782602382324
4.6;1.860793567;16.44387964953555
4.6;1.833742383;16.215183752482975
4.499994;1.767554538;15.59844526862807
4.300012;1.87344622;16.452840902542448
4.3999877;2.063049077;18.137708515243094
4.6;1.85626499;16.416890820466726
4.999994;1.909144316;17.059257300519878
5.200006;1.755102108;15.769475867518386
5.499994;1.54322157;14.023779516447885
5.300012;1.764379536;15.949765800571416
4.6;1.804798601;15.963889797568394
4.3999877;1.680649353;14.80364265795784
3.800012;1.849469814;16.006173720500954
2.9999938;1.504494689;12.720406604907899
1.8999878;1.649265517;13.56280091211017
1.1;1.863203915;15.02979173132932
0.9999939;1.861893793;14.9493334792178
2.800012;1.76963877;14.92813587311628
2.9999938;1.766641299;14.899595097918205
2.300012;1.866027813;15.516353050087504
2.300012;1.697180865;14.099150941364764
2.300012;1.795186387;14.905499852990681
1.6;1.842302631;15.02571721553071
1.2000061;2.344466245;18.882148621707984
0.9999939;2.339486012;18.78047656224325
1.3999878;2.281989826;18.520222251430233
1.6;2.515081667;20.53991788089483
1.8999878;2.483862375;20.404890595634527
2.3999877;2.557803183;21.28637812794214
2.700006;2.547343147;21.37604085912831
2.300012;2.296123578;19.090757042354042
2.3999877;1.972577453;16.435097022193194
1.9999939;2.06389543;16.99752979592466
2.1;2.083883724;17.228423348662265
1.8000122;2.180568995;17.877475550986958
1.6;2.30158576;18.788684899810658
1.2000061;2.441392508;19.690138938122455
0.7000061;1.902467337;15.152676757068045
0.1;2.048005777;16.065666836937357
-0.2999939;2.175558526;16.875847701037358
-0.5000061;2.29324666;17.73752940554129
-1.0000061;2.345668546;17.920977105443598
-0.6000122;2.231136039;17.20897026913285
-6.1e-06;2.143453241;16.775865257332498
-6.1e-06;2.067102471;16.15451858515899
-0.2999939;2.197428495;17.06664509354469
-0.5000061;2.23473175;17.272309709669464
-0.9;2.427979555;18.573729454615567
-1.7999939;2.436771457;18.25215928576668
-1.9;2.536537825;18.96552301713629
-2.1000123;2.98856123;22.26735971802421
-2.299994;3.236779602;23.965611556256636
-2.299994;2.943709466;21.797651007814455
-3.1000123;2.975573099;21.618011081684674
