;TDryBul;HDirNor;oveHeaPumY_u;reaTZon_y;delta_reaTZon_y
0;264.05;-3.55e-15;0.0;292.50903;57.47619348577878
1;264.05;-3.55e-15;0.0;294.10223;57.78137628191894
2;264.05;-3.55e-15;0.0;295.69547;58.086564923800886
3;264.05;-3.55e-15;0.0;297.28867;58.39174771994104
4;264.05;-3.55e-15;0.0;298.88187;58.69693051608119
5;264.05;-3.55e-15;0.0;300.47507;59.00211331222135
6;264.05;-3.55e-15;0.0;302.06827;59.3072961083615
7;264.05;-3.55e-15;0.0;303.66147;59.61247890450165
8;264.05;-3.55e-15;0.0;305.2547;59.917667546383605
9;264.05;-3.55e-15;0.0;306.8479;60.222850342523756
10;264.05;-3.55e-15;0.11111111;292.50903;57.47622753969319
11;264.05;-3.55e-15;0.11111111;294.10223;57.78141033583334
12;264.05;-3.55e-15;0.11111111;295.69547;58.08659897771529
13;264.05;-3.55e-15;0.11111111;297.28867;58.39178177385544
14;264.05;-3.55e-15;0.11111111;298.88187;58.6969645699956
15;264.05;-3.55e-15;0.11111111;300.47507;59.00214736613575
16;264.05;-3.55e-15;0.11111111;302.06827;59.3073301622759
17;264.05;-3.55e-15;0.11111111;303.66147;59.61251295841606
18;264.05;-3.55e-15;0.11111111;305.2547;59.91770160029801
19;264.05;-3.55e-15;0.11111111;306.8479;60.22288439643816
20;264.05;-3.55e-15;0.22222222;292.50903;57.4762615936076
21;264.05;-3.55e-15;0.22222222;294.10223;57.781444389747755
22;264.05;-3.55e-15;0.22222222;295.69547;58.0866330316297
23;264.05;-3.55e-15;0.22222222;297.28867;58.39181582776986
24;264.05;-3.55e-15;0.22222222;298.88187;58.69699862391001
25;264.05;-3.55e-15;0.22222222;300.47507;59.002181420050164
26;264.05;-3.55e-15;0.22222222;302.06827;59.30736421619032
27;264.05;-3.55e-15;0.22222222;303.66147;59.612547012330474
28;264.05;-3.55e-15;0.22222222;305.2547;59.91773565421242
29;264.05;-3.55e-15;0.22222222;306.8479;60.22291845035257
30;264.05;-3.55e-15;0.33333334;292.50903;57.476295647524296
31;264.05;-3.55e-15;0.33333334;294.10223;57.78147844366445
32;264.05;-3.55e-15;0.33333334;295.69547;58.0866670855464
33;264.05;-3.55e-15;0.33333334;297.28867;58.391849881686554
34;264.05;-3.55e-15;0.33333334;298.88187;58.697032677826705
35;264.05;-3.55e-15;0.33333334;300.47507;59.002215473966864
36;264.05;-3.55e-15;0.33333334;302.06827;59.307398270107015
37;264.05;-3.55e-15;0.33333334;303.66147;59.61258106624717
38;264.05;-3.55e-15;0.33333334;305.2547;59.917769708129114
39;264.05;-3.55e-15;0.33333334;306.8479;60.22295250426927
40;264.05;-3.55e-15;0.44444445;292.50903;57.47632970143643
41;264.05;-3.55e-15;0.44444445;294.10223;57.78151249757658
42;264.05;-3.55e-15;0.44444445;295.69547;58.086701139458526
43;264.05;-3.55e-15;0.44444445;297.28867;58.39188393559868
44;264.05;-3.55e-15;0.44444445;298.88187;58.697066731738836
45;264.05;-3.55e-15;0.44444445;300.47507;59.00224952787899
46;264.05;-3.55e-15;0.44444445;302.06827;59.30743232401914
47;264.05;-3.55e-15;0.44444445;303.66147;59.6126151201593
48;264.05;-3.55e-15;0.44444445;305.2547;59.917803762041245
49;264.05;-3.55e-15;0.44444445;306.8479;60.2229865581814
50;264.05;-3.55e-15;0.5555556;292.50903;57.47636375535769
51;264.05;-3.55e-15;0.5555556;294.10223;57.78154655149784
52;264.05;-3.55e-15;0.5555556;295.69547;58.08673519337979
