;TDryBul;HDirNor;oveHeaPumY_u;reaTZon_y
0;264.05;-3.55e-15;0.0;292.50903
1;264.05;-3.55e-15;0.0;296.09375
2;264.05;-3.55e-15;0.0;299.67847
3;264.05;-3.55e-15;0.0;303.26318
4;264.05;-3.55e-15;0.0;306.8479
5;264.05;-3.55e-15;0.25;292.50903
6;264.05;-3.55e-15;0.25;296.09375
7;264.05;-3.55e-15;0.25;299.67847
8;264.05;-3.55e-15;0.25;303.26318
9;264.05;-3.55e-15;0.25;306.8479
10;264.05;-3.55e-15;0.5;292.50903
11;264.05;-3.55e-15;0.5;296.09375
12;264.05;-3.55e-15;0.5;299.67847
13;264.05;-3.55e-15;0.5;303.26318
14;264.05;-3.55e-15;0.5;306.8479
15;264.05;-3.55e-15;0.75;292.50903
16;264.05;-3.55e-15;0.75;296.09375
17;264.05;-3.55e-15;0.75;299.67847
18;264.05;-3.55e-15;0.75;303.26318
19;264.05;-3.55e-15;0.75;306.8479
20;264.05;-3.55e-15;1.0;292.50903
21;264.05;-3.55e-15;1.0;296.09375
22;264.05;-3.55e-15;1.0;299.67847
23;264.05;-3.55e-15;1.0;303.26318
24;264.05;-3.55e-15;1.0;306.8479
25;275.1153;-3.55e-15;0.0;292.50903
26;275.1153;-3.55e-15;0.0;296.09375
27;275.1153;-3.55e-15;0.0;299.67847
28;275.1153;-3.55e-15;0.0;303.26318
29;275.1153;-3.55e-15;0.0;306.8479
30;275.1153;-3.55e-15;0.25;292.50903
31;275.1153;-3.55e-15;0.25;296.09375
32;275.1153;-3.55e-15;0.25;299.67847
33;275.1153;-3.55e-15;0.25;303.26318
34;275.1153;-3.55e-15;0.25;306.8479
35;275.1153;-3.55e-15;0.5;292.50903
36;275.1153;-3.55e-15;0.5;296.09375
37;275.1153;-3.55e-15;0.5;299.67847
38;275.1153;-3.55e-15;0.5;303.26318
39;275.1153;-3.55e-15;0.5;306.8479
40;275.1153;-3.55e-15;0.75;292.50903
41;275.1153;-3.55e-15;0.75;296.09375
42;275.1153;-3.55e-15;0.75;299.67847
43;275.1153;-3.55e-15;0.75;303.26318
44;275.1153;-3.55e-15;0.75;306.8479
45;275.1153;-3.55e-15;1.0;292.50903
46;275.1153;-3.55e-15;1.0;296.09375
47;275.1153;-3.55e-15;1.0;299.67847
48;275.1153;-3.55e-15;1.0;303.26318
49;275.1153;-3.55e-15;1.0;306.8479
50;286.18057;-3.55e-15;0.0;292.50903
51;286.18057;-3.55e-15;0.0;296.09375
